ticker,name,ipo_date,current_stock_price,market_cap,sector,pe_ratio,gross_profit_margin,gross_profit,total_shares_outstanding,ps_ratio,total_revenue,revenue_growth_rate_last_year
DCRD,Decarbonization Plus IV,08/11/2021,9.95,393335420.09999996,Blank Check / SPAC,0,0.0,0,39531198,0.0,0,0.0
DCRN,Decarbonization Plus Acquisition II,02/04/2021,10.21,513690625.00000006,Blank Check / SPAC,0,0.0,0,50312500,0.0,0,0.0
DCT,Duck Creek Technologies,08/14/2020,28.21,3725045757.1600003,Information Technology,0,-6.503,150264000,132046996,14.308,260350000,22.997
DDI,DoubleDown Interactive,08/31/2021,16.44,814657912.44,Communication Services,9.159,20.695,239205000,49553401,2.214,367939000,9.3
DDL,Dingdong,06/29/2021,24.6,5806854649.200001,Consumer Defensive,0,-39.025,0,236051002,0.326,17825080000,0.0
DDMX,DD3 Acquisition II,12/08/2020,9.8,156750990.20000002,Blank Check / SPAC,0,0.0,0,15994999,0.0,0,0.0
DERM,Journey Medical,11/12/2021,9.12,149943744,Health Care,0,-18.435,30125000,16441200,3.049,49177000,0.0
DFH,Dream Finders Homes,01/21/2021,17.68,1635780226.08,Consumer Cyclical,15.688,7.397,247663486,92521506,1.067,1532920323,65.525
DGNS,Dragoneer Growth Opportunities II,11/17/2020,10.1,356045220.2,Blank Check / SPAC,0,0.0,0,35252002,0.0,0,0.0
DGNU,Dragoneer Growth Opportunities III,03/23/2021,10,538345020,Blank Check / SPAC,0,0.0,0,53834502,0.0,0,0.0
DH,Definitive Healthcare,09/15/2021,32.93,2906510337.28,Healthcare,0,-38.954,0,88263296,22.132,131328000,0.0
DHBC,DHB Capital,03/02/2021,9.77,352475230.77,Blank Check / SPAC,0,0.0,0,36077301,0.0,0,0.0
DHCA,DHC Acquisition,03/02/2021,9.745,376949278.24499995,Blank Check / SPAC,0,0.0,0,38681301,0.0,0,0.0
DHHC,DiamondHead Holdings,01/26/2021,9.78,421762500,Blank Check / SPAC,0,0.0,0,43125000,0.0,0,0.0
DIBS,1stdibs.com,06/10/2021,13.55,513217090,Consumer Cyclical,0,-25.473,0,37875800,5.149,99675000,0.0
DICE,DICE Therapeutics,09/15/2021,36.34,1389329039.66,Healthcare,0,-4062.341,0,38231399,1609.883,863000,0.0
